Rejec,ID,IME,r,k20,a30,KoagRazred,Mascoba,proteini,Laktoza,SS,ZmrzTocka,Urea,SSC,KapaKazein
Pececnik,83949810,Lejdi,839,98,45,A,4.88,3.24,4.6,8.57,-0.516,17.5,19,BB
Jan,84015417,Sreca,864,115.5,38.5,A,5.2,3.34,4.54,8.61,-0.531,10.7,354,AB
Popic,84056225,Solda,942,112,39,A,3.83,3.73,4.44,8.9,-0.524,11.8,207,
Marolt,84151966,Vila,862,108,50,A,4.72,4.13,4.37,9.23,-0.529,24.3,178,BB
Marolt,84180780,Maga,1566,120,23,F,3.93,3.9,4.43,9.07,-0.528,18.3,102,AB
Pececnik,84235419,Nona,1060,97,47,A,5.22,4.47,4.35,9.55,-0.521,9.4,54,BB
Knez,84241311,Miss,677,95,44,A,3.74,3.12,4.75,8.6,-0.525,21.5,71,
Knez,84247764,Lisa,1075,104,39,A,2.31,3.21,4.59,8.53,-0.532,10.1,69,
Popic,84294065,Vanda,503,73,23,A,6.34,4.72,4.59,10.04,-0.522,8.5,106,AA
Knez,84303060,Sladka,1363.5,105,32.5,B,4.88,3.27,4.81,8.82,-0.519,14.6,98,
Jan,84413482,Sivka,1441,120,21.5,B,4.71,3.64,4.74,9.11,-0.522,14.5,189,AA
Jan,84415666,Repa,1172.5,114.5,36,B,4.68,3.39,4.6,8.72,-0.527,11.4,419,BB
Verdel,84497581,Svila,793,97.5,47.5,A,5.68,4.52,4.47,9.73,-0.524,8,34,BB
Kramer,93489054,Muza,711,124,41,A,5.01,4.86,2.84,4.5,8.07,-0.528,14.2,AB
Arlic,93736167,Samara,1447,118.5,28,B,3.93,3.65,4.44,8.81,-0.524,11.7,1237,AB
Lesjak,93749059,Drca,839,98,45,A,3.8,3.45,4.29,8.47,-0.518,17.7,140,BB
Verdev,93863010,Lima,570,133,48,D,1.6,3.14,4.67,8.54,-0.519,4.8,43,
Arlic,93943631,Sliva,983.5,110.5,38,A,3.6,3.74,4.17,8.64,-0.524,8.9,247,AB
Kramer,93945121,Bilka,1151.5,122,36.5,B,3.94,3.83,2.91,4.73,8.37,-0.516,14.8,AB
Arlic,94018684,Salva,1441.5,134,30,B,3.5,3.64,4.34,8.7,-0.52,9.8,1293,AB
Popic,94038060,Sreca,978,106,40,A,5.05,4.14,4.54,9.4,-0.528,14.1,1653,AB
Rakun,94158890,Sana,959,104,44,A,6.01,4.06,4.51,9.3,-0.516,16.4,59,AB
Marolt,94243020,Brina,1006,102,42,A,4.34,4,4.62,9.34,-0.524,29.1,70,BB
Marolt,94244832,Baja,967,95,44,A,4.56,4.01,4.88,9.61,-0.536,25.4,228,BB
Popic,94294095,Murva,1110,112,42,B,5.16,4.03,4.68,9.44,-0.532,14,52,BB
Tajnik,94422300,Beka,1311.5,99.5,28.5,B,5.6,3.67,4.5,8.9,-0.515,10.3,10,BB
Verdel,94546880,Linda,1075.5,110.5,36,B,4.71,3.72,4.52,8.97,-0.525,11.1,2943,cb
